name,stateFull,stateAbbr,schoolId,agencyName,agencyId,county,address,city,zip,mailAddress,mailCity,mailZip,phone,type,charter,magnet,lat,lng,stateSchoolId,lowGrade,highGrade,level,enrollment,freeLunch,redLunch,totalFreeLunch,nativeAmerican,asian,hispanic,black,white,pacificIsland,multiRacial,ratio
ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,Colorado,CO ,80192001644,ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,801920,EL PASO COUNTY,8550 CHARITY,COLORADO SPRINGS,80920,8550 CHARITY,COLORADO SPRINGS,80920,7192344000,1-Regular school,2-No,2-No,38.961997,-104.765426,19,Prekindergarten,5th Grade,1-Primary,740,39,18,57,1,71,85,37,500,5,41,18.27
ACADEMY OF DETROIT-WEST,Michigan,MI ,2.60E+11,ACADEMY OF DETROIT-WEST,2600130,WAYNE COUNTY,23749 ELMIRA,REDFORD,48239,23749 ELMIRA,REDFORD,48239,3133879238,1-Regular school,1-Yes,2-No,42.368879,-83.272763,8950,Kindergarten,6th Grade,1-Primary,270,237,15,252,0,0,0,262,6,0,2,11.39
ACRES GREEN ELEMENTARY SCHOOL,Colorado,CO ,80345000436,DOUGLAS COUNTY SCHOOL DISTRICT NO. RE 1,803450,DOUGLAS COUNTY,13524 NORTH ACRES GREEN DR,LITTLETON,80124,13524 NORTH ACRES GREEN DRIVE,LITTLETON,80124,3033877125,1-Regular school,2-No,2-No,39.557787,-104.896576,12,Prekindergarten,6th Grade,1-Primary,689,91,30,121,4,92,96,15,447,0,35,18.45
ADA ELEMENTARY SCHOOL,Michigan,MI ,2.61E+11,FOREST HILLS PUBLIC SCHOOLS,2614610,KENT COUNTY,731 ADA DR SE,ADA,49301,731 ADA DR SE,ADA,49301,6164938940,1-Regular school,2-No,2-No,42.952622,-85.491202,14,Kindergarten,4th Grade,1-Primary,416,28,8,36,1,24,4,7,375,0,5,14.8
ADA VISTA ELEMENTARY SCHOOL,Michigan,MI ,2.61E+11,FOREST HILLS PUBLIC SCHOOLS,2614610,KENT COUNTY,7192 BRADFIELD AVE SE,ADA,49301,7192 BRADFIELD AVE SE,ADA,49301,6164938970,1-Regular school,2-No,1-Yes,42.954166,-85.492121,9069,Kindergarten,4th Grade,1-Primary,500,15,0,15,3,14,42,12,418,0,11,19.69
ADAMS ELEMENTARY SCHOOL,Michigan,MI ,2.62E+11,MIDLAND PUBLIC SCHOOLS,2623820,MIDLAND COUNTY,1005 ADAMS DR,MIDLAND,48642,1005 ADAMS DR,MIDLAND,48642,9899236037,1-Regular school,2-No,1-Yes,43.645229,-84.21588,16,Kindergarten,5th Grade,1-Primary,475,62,7,69,1,27,30,8,390,0,19,20.96
ADAMS ELEMENTARY SCHOOL,Michigan,MI ,2.62E+11,MIDLAND PUBLIC SCHOOLS,2623820,MIDLAND COUNTY,1005 ADAMS DR,MIDLAND,48642,1005 ADAMS DR,MIDLAND,48642,9899236037,1-Regular school,2-No,1-Yes,43.645229,-84.21588,16,Kindergarten,5th Grade,1-Primary,475,62,7,69,1,27,30,8,390,0,19,20.96
ADAMS ELEMENTARY SCHOOL,Michigan,MI ,2.62E+11,MIDLAND PUBLIC SCHOOLS,2623820,MIDLAND COUNTY,1005 ADAMS DR,MIDLAND,48642,1005 ADAMS DR,MIDLAND,48642,9899236037,1-Regular school,2-No,1-Yes,43.645229,-84.21588,16,Kindergarten,5th Grade,1-Primary,475,62,7,69,1,27,30,8,390,0,19,20.96
ADAMS UPPER ELEMENTARY SCHOOL,Michigan,MI ,2.60E+11,WAYNE-WESTLAND COMMUNITY SCHOOL DISTRICT,2600015,WAYNE COUNTY,33475 PALMER RD,WESTLAND,48186,33475 PALMER RD,WESTLAND,48186,7344192380,1-Regular school,2-No,2-No,42.295804,-83.371544,17,5th Grade,6th Grade,2-Middle,932,622,63,685,6,14,45,253,604,0,10,19.87
ADAMS12 FIVE STAR PRESCHOOL,Colorado,CO ,80690006435,ADAMS 12 FIVE STAR SCHOOLS,806900,ADAMS COUNTY,1500 EAST 128TH AVE,THORNTON,80241,455 EPPINGER BLVD,THORNTON,80229,7209726001,1-Regular school,2-No,2-No,39.928471,-104.9668,70,Prekindergarten,Prekindergarten,1-Primary,753,165,30,195,1,24,402,7,307,1,11,62.75
ADDAMS ELEMENTARY,Michigan,MI ,2.63E+11,SCHOOL DISTRICT OF THE CITY OF ROYAL OAK,2630300,OAKLAND COUNTY,2222 WEST WEBSTER RD,ROYAL OAK,48073,2222 WEST WEBSTER RD,ROYAL OAK,48073,2482883100,1-Regular school,2-No,2-No,42.510857,-83.17221,9741,Kindergarten,5th Grade,1-Primary,417,74,16,90,4,15,10,33,333,1,21,15.5
ADLAI STEVENSON ELEMENTARY SCHOOL,Michigan,MI ,2.63E+11,SOUTHFIELD PUBLIC SCHOOL DISTRICT,2632310,OAKLAND COUNTY,27777 LAHSER RD,SOUTHFIELD,48034,27777 LAHSER RD,SOUTHFIELD,48034,2487468840,1-Regular school,2-No,2-No,42.492665,-83.261608,24,Kindergarten,5th Grade,1-Primary,469,265,49,314,2,2,0,452,13,0,0,19.46
ADRIAN MIDDLE SCHOOL 5/6 BUILDING,Michigan,MI ,2.60E+11,ADRIAN CITY SCHOOL DISTRICT,2601950,LENAWEE COUNTY,340 EAST CHURCH ST,ADRIAN,49221,340 EAST CHURCH ST,ADRIAN,49221,5172658122,1-Regular school,2-No,2-No,41.896474,-84.032766,28,5th Grade,6th Grade,2-Middle,449,253,27,280,1,2,132,21,262,0,31,15.94
ADVENTURE ELEMENTARY,Colorado,CO ,80555001932,MAPLETON SCHOOL DISTRICT NO. 1 IN THE COUNTY OF ADAMS & ST,805550,ADAMS COUNTY,7700 DELTA ST,DENVER,80221,7700 DELTA ST.,DENVER,80221,3038531410,1-Regular school,2-No,1-Yes,39.836793,-104.992026,507,Prekindergarten,6th Grade,1-Primary,364,295,36,331,4,2,299,3,54,0,2,15.17
AGATE ELEMENTARY SCHOOL,Colorado,CO ,80198000020,AGATE SCHOOL DISTRICT NO. 300,801980,ELBERT COUNTY,41032 2ND AVE,AGATE,80101,P O BOX 118,AGATE,80101,7197642741,1-Regular school,2-No,2-No,39.462398,-103.941776,44,Prekindergarten,5th Grade,1-Primary,13,3,4,7,0,0,1,0,12,0,0,4.47
AGUILAR ELEMENTARY SCHOOL,Colorado,CO ,80201000022,AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,802010,LAS ANIMAS COUNTY,420 NORTH BALSAM,AGUILAR,81020,P O BOX 567,AGUILAR,81020,7199414188,1-Regular school,2-No,2-No,37.40604,-104.65403,58,Prekindergarten,6th Grade,1-Primary,66,30,20,50,0,0,42,0,24,0,0,8.25
AKRON-FAIRGROVE ELEM. SCHOOL,Michigan,MI ,2.60E+11,AKRON-FAIRGROVE SCHOOLS,2602010,TUSCOLA COUNTY,4335 LYNN ST,AKRON,48701,4335 LYNN ST,AKRON,48701,9896915141,1-Regular school,2-No,2-No,43.56785,-83.517505,33,Kindergarten,6th Grade,1-Primary,140,86,12,98,1,0,19,0,114,0,6,16.15
ALAIEDON ELEMENTARY SCHOOL,Michigan,MI ,2.62E+11,MASON PUBLIC SCHOOLS (INGHAM),2623070,INGHAM COUNTY,1723 OKEMOS RD,MASON,48854,1723 OKEMOS RD,MASON,48854,5176766499,1-Regular school,2-No,2-No,42.63204,-84.433055,37,Kindergarten,5th Grade,1-Primary,373,89,15,104,4,7,20,10,329,1,2,18.32
ALAMEDA EARLY CHILDHOOD CENTER,Michigan,MI ,2.61E+11,FARMINGTON PUBLIC SCHOOL DISTRICT,2614070,OAKLAND COUNTY,32400 ALAMEDA ST,FARMINGTON HILLS,48336,32400 ALAMEDA ST,FARMINGTON HILLS,48336,2484893808,1-Regular school,2-No,2-No,42.479064,-83.366946,3754,Prekindergarten,Prekindergarten,1-Primary,0,0,0,0,null,null,null,null,null,null,null,0
ALAMO ELEMENTARY SCHOOL,Michigan,MI ,2.63E+11,OTSEGO PUBLIC SCHOOLS,2627060,KALAMAZOO COUNTY,8184 NORTH 6TH ST,KALAMAZOO,49009,8184 NORTH 6TH ST,KALAMAZOO,49009,2696926150,1-Regular school,2-No,2-No,42.377738,-85.707899,4851,Kindergarten,5th Grade,1-Primary,253,64,13,77,0,2,1,0,241,0,9,16.99
ALAMOSA ELEMENTARY SCHOOL,Colorado,CO ,80207006459,ALAMOSA SCHOOL DISTRICT NO. RE-11J,802070,ALAMOSA COUNTY,1709 WEST 10TH ST,ALAMOSA,81101,1709 WEST 10TH STREET,ALAMOSA,81101,7195871600,1-Regular school,2-No,null,37.462354,-105.886681,115,Kindergarten,5th Grade,null,null,null,null,null,null,null,null,null,null,null,null,null
ALBERT SCHWEITZER ELEMENTARY SCHOOL,Michigan,MI ,2.60E+11,WAYNE-WESTLAND COMMUNITY SCHOOL DISTRICT,2600015,WAYNE COUNTY,2601 TREADWELL ST,WESTLAND,48186,2601 TREADWELL ST,WESTLAND,48186,7344192750,1-Regular school,2-No,2-No,42.2891,-83.401676,43,Kindergarten,4th Grade,1-Primary,421,215,39,254,2,4,24,63,313,0,15,19.95
ALCONA ELEMENTARY SCHOOL,Michigan,MI ,2.60E+11,ALCONA COMMUNITY SCHOOLS,2602160,ALCONA COUNTY,181 NORTH BARLOW RD,LINCOLN,48742,P.O. BOX 249,LINCOLN,48742,9897368146,1-Regular school,2-No,1-Yes,44.66145,-83.40656,4937,Kindergarten,6th Grade,1-Primary,373,197,37,234,2,1,3,3,363,1,0,18.2
ALCOTT SCHOOL,Michigan,MI ,2.63E+11,PONTIAC CITY SCHOOL DISTRICT,2628740,OAKLAND COUNTY,460 WEST KENNETT RD,PONTIAC,48340,460 WEST KENNETT RD,PONTIAC,48340,2484517910,1-Regular school,2-No,2-No,42.664833,-83.317811,45,Kindergarten,6th Grade,1-Primary,367,235,9,244,2,20,138,137,70,0,0,18.14
ALEXANDER ELEMENTARY SCHOOL,Michigan,MI ,2.60E+11,ADRIAN CITY SCHOOL DISTRICT,2601950,LENAWEE COUNTY,520 CHERRY ST,ADRIAN,49221,520 CHERRY ST,ADRIAN,49221,5172639533,1-Regular school,2-No,2-No,41.90638,-84.041824,46,Kindergarten,4th Grade,1-Primary,391,180,22,202,0,9,86,14,268,0,14,17.18
ALEXANDER HAMILTON ELEMENTARY SCHOOL,Michigan,MI ,2.60E+11,WAYNE-WESTLAND COMMUNITY SCHOOL DISTRICT,2600015,WAYNE COUNTY,1031 SOUTH SCHUMAN ST,WESTLAND,48186,1031 SOUTH SCHUMAN ST,WESTLAND,48186,7344192650,1-Regular school,2-No,2-No,42.302147,-83.371455,48,Kindergarten,4th Grade,1-Primary,459,293,30,323,2,3,22,89,329,1,13,18.14
ALFRED E. UPTON ELEMENTARY SCHOOL,Michigan,MI ,2.63E+11,SCHOOL DISTRICT OF THE CITY OF ROYAL OAK,2630300,OAKLAND COUNTY,4400 MANDALAY AVE,ROYAL OAK,48073,4400 MANDALAY AVE,ROYAL OAK,48073,2485494968,1-Regular school,2-No,2-No,42.5278,-83.185445,4264,Kindergarten,5th Grade,1-Primary,363,148,18,166,1,17,7,56,260,1,21,16.43
ALGONAC ELEMENTARY SCHOOL,Michigan,MI ,2.60E+11,ALGONAC COMMUNITY SCHOOL DISTRICT,2602190,ST. CLAIR COUNTY,1300 SAINT CLAIR BLVD,ALGONAC,48001,1300 SAINT CLAIR BLVD,ALGONAC,48001,8107944991,1-Regular school,2-No,1-Yes,42.621008,-82.533124,53,Kindergarten,5th Grade,1-Primary,325,179,20,199,1,3,4,2,309,1,5,16.39
ALICE TERRY ELEMENTARY SCHOOL,Colorado,CO ,80654001131,SHERIDAN SCHOOL DISTRICT NO. 2,806540,ARAPAHOE COUNTY,4485 SOUTH IRVING ST,ENGLEWOOD,80150,4485 SOUTH IRVING STREET,ENGLEWOOD,80150,7208336990,1-Regular school,2-No,2-No,39.636494,-105.030013,138,Kindergarten,2nd Grade,1-Primary,339,286,14,300,2,7,235,21,68,1,5,14.89
ALLEN ELEMENTARY SCHOOL,Michigan,MI ,2.63E+11,PLYMOUTH-CANTON COMMUNITY SCHOOLS,2628560,WAYNE COUNTY,11100 NORTH HAGGERTY RD,PLYMOUTH,48170,11100 NORTH HAGGERTY RD,PLYMOUTH,48170,7344163050,1-Regular school,2-No,2-No,42.363529,-83.445073,64,Kindergarten,5th Grade,1-Primary,439,87,20,107,3,41,17,47,320,0,11,18.19
ALLEN ELEMENTARY SCHOOL,Michigan,MI ,2.63E+11,PLYMOUTH-CANTON COMMUNITY SCHOOLS,2628560,WAYNE COUNTY,11100 NORTH HAGGERTY RD,PLYMOUTH,48170,11100 NORTH HAGGERTY RD,PLYMOUTH,48170,7344163050,1-Regular school,2-No,2-No,42.363529,-83.445073,64,Kindergarten,5th Grade,1-Primary,439,87,20,107,3,41,17,47,320,0,11,18.19
ALLENDALE ELEMENTARY SCHOOL,Colorado,CO ,80480000692,JEFFERSON COUNTY SCHOOL DISTRICT NO. R-1,804800,JEFFERSON COUNTY,5900 OAK ST,ARVADA,80004,5900 OAK STREET,ARVADA,80004,3039821165,1-Regular school,2-No,2-No,39.804703,-105.119023,148,Kindergarten,6th Grade,1-Primary,208,126,21,147,0,2,88,5,107,0,6,12.86
ALLENDALE ELEMENTARY SCHOOL,Colorado,CO ,80480000692,JEFFERSON COUNTY SCHOOL DISTRICT NO. R-1,804800,JEFFERSON COUNTY,5900 OAK ST,ARVADA,80004,5900 OAK STREET,ARVADA,80004,3039821165,1-Regular school,2-No,2-No,39.804703,-105.119023,148,Kindergarten,6th Grade,1-Primary,208,126,21,147,0,2,88,5,107,0,6,12.86
ALMONT ELEMENTARY SCHOOL,Michigan,MI ,2.60E+11,ALMONT COMMUNITY SCHOOLS,2602670,LAPEER COUNTY,401 CHURCH ST,ALMONT,48003,401 CHURCH ST,ALMONT,48003,8107988467,1-Regular school,2-No,2-No,42.923331,-83.047636,74,3rd Grade,5th Grade,1-Primary,364,90,14,104,0,1,19,1,343,0,0,19.49
ALPINE ELEMENTARY SCHOOL,Michigan,MI ,2.62E+11,KENOWA HILLS PUBLIC SCHOOLS,2620280,KENT COUNTY,4730 BAUMHOFF AVE NW,COMSTOCK PARK,49321,4730 BAUMHOFF AVE NW,COMSTOCK PARK,49321,6167840884,1-Regular school,2-No,1-Yes,43.04996,-85.719267,6003,Kindergarten,5th Grade,1-Primary,344,226,24,250,9,11,83,21,206,0,14,16.58
ALPINE ELEMENTARY SCHOOL,Michigan,MI ,2.62E+11,KENOWA HILLS PUBLIC SCHOOLS,2620280,KENT COUNTY,4730 BAUMHOFF AVE NW,COMSTOCK PARK,49321,4730 BAUMHOFF AVE NW,COMSTOCK PARK,49321,6167840884,1-Regular school,2-No,1-Yes,43.04996,-85.719267,6003,Kindergarten,5th Grade,1-Primary,344,226,24,250,9,11,83,21,206,0,14,16.58
ALSUP ELEMENTARY SCHOOL,Colorado,CO ,80195000011,SCHOOL DISTRICT N. 14 IN THE COUNTY OF ADAMS & STATE OF COLO,801950,ADAMS COUNTY,7101 BIRCH ST,COMMERCE CITY,80022,7101 BIRCH STREET,COMMERCE CITY,80022,3032886865,1-Regular school,2-No,2-No,39.82571,-104.936285,186,Prekindergarten,5th Grade,1-Primary,640,492,57,549,6,2,509,13,102,0,8,19.1
ALTA VISTA CHARTER SCHOOL,Colorado,CO ,80522000860,LAMAR SCHOOL DISTRICT NO. RE-2,805220,PROWERS COUNTY,8785 RD LL,LAMAR,81052,8785 ROAD LL,LAMAR,81052,7193362154,1-Regular school,1-Yes,2-No,38.128709,-102.59718,200,Kindergarten,6th Grade,1-Primary,126,29,19,48,0,0,26,0,93,0,7,13.94
ALTO ELEMENTARY SCHOOL,Michigan,MI ,2.62E+11,LOWELL AREA SCHOOLS,2622050,KENT COUNTY,6150 BANCROFT AVE SE,ALTO,49302,6150 BANCROFT AVE SE,ALTO,49302,6169872600,1-Regular school,2-No,1-Yes,42.853533,-85.380159,76,Kindergarten,5th Grade,1-Primary,455,79,32,111,1,2,8,6,435,3,0,22.03
ALTURA ELEMENTARY SCHOOL,Colorado,CO ,80234000052,AURORA JOINT DISTRICT NO. 28 OF THE COUNTIES OF ADAMS AND A,802340,ADAMS COUNTY,1650 ALTURA BLVD,AURORA,80011,1650 ALTURA BLVD,AURORA,80011,3033403500,1-Regular school,2-No,2-No,39.742869,-104.814668,214,Prekindergarten,5th Grade,1-Primary,493,419,39,458,5,4,367,56,47,2,12,18.81
ALWARD ELEMENTARY SCHOOL,Michigan,MI ,2.62E+11,HUDSONVILLE PUBLIC SCHOOL DISTRICT,2618840,OTTAWA COUNTY,3811 PORT SHELDON ST,HUDSONVILLE,49426,3811 PORT SHELDON ST,HUDSONVILLE,49426,6166696700,1-Regular school,2-No,2-No,42.885551,-85.875833,79,Kindergarten,5th Grade,1-Primary,465,58,26,84,0,10,16,4,424,0,11,20.13
AMA GREAT PARENTS/GREAT START,Michigan,MI ,2.68E+11,ALPENA-MONTMORENCY-ALCONA ESD,2680120,ALPENA COUNTY,211 NORTH FIRST AVE,ALPENA,49707,2118 US HIGHWAY 23 S,ALPENA,49707,9893543101,1-Regular school,2-No,2-No,45.062001,-83.431099,9436,Prekindergarten,Prekindergarten,1-Primary,0,0,0,0,null,null,null,null,null,null,null,null
AMANDA MOORE ELEMENTARY SCHOOL,Michigan,MI ,2.63E+11,ROMEO COMMUNITY SCHOOLS,2630090,MACOMB COUNTY,209 DICKENSON ST,ROMEO,48065,209 DICKENSON ST,ROMEO,48065,5867520260,1-Regular school,2-No,2-No,42.804609,-83.008221,6119,Kindergarten,5th Grade,1-Primary,428,134,16,150,1,0,37,10,372,4,4,18.53
AMBERLY ELEMENTARY SCHOOL,Michigan,MI ,2.63E+11,PORTAGE PUBLIC SCHOOLS,2628950,KALAMAZOO COUNTY,6637 AMBERLY ST,PORTAGE,49024,6637 AMBERLY ST,PORTAGE,49024,2693235900,1-Regular school,2-No,2-No,42.220671,-85.624218,81,Kindergarten,5th Grade,1-Primary,537,132,15,147,3,23,29,46,407,1,28,18.59
AMERICAN MONTESSORI ACADEMY,Michigan,MI ,2.60E+11,AMERICAN MONTESSORI ACADEMY,2600312,WAYNE COUNTY,14800 MIDDLEBELT RD,LIVONIA,48154,14800 MIDDLEBELT RD,LIVONIA,48154,7345257100,1-Regular school,1-Yes,2-No,42.392818,-83.334202,9457,Kindergarten,2nd Grade,1-Primary,301,74,13,87,1,17,14,75,173,0,21,12.65
AMERICAN MONTESSORI ACADEMY UPPER ELEMENTARY,Michigan,MI ,2.60E+11,AMERICAN MONTESSORI ACADEMY,2600312,WAYNE COUNTY,17175 OLYMPIA,REDFORD,48240,17175 OLYMPIA,REDFORD,48240,3135330000,1-Regular school,1-Yes,2-No,42.415789,-83.294295,196,3rd Grade,6th Grade,1-Primary,206,49,4,53,0,7,12,68,110,0,9,null
AMERMAN ELEMENTARY SCHOOL,Michigan,MI ,2.63E+11,NORTHVILLE PUBLIC SCHOOLS,2625980,OAKLAND COUNTY,847 NORTH CENTER ST,NORTHVILLE,48167,847 NORTH CENTER ST,NORTHVILLE,48167,2483448405,1-Regular school,2-No,2-No,42.440387,-83.483406,83,Kindergarten,5th Grade,1-Primary,543,18,2,20,1,95,18,4,419,0,6,19.02
AMESSE ELEMENTARY SCHOOL,Colorado,CO ,80336000306,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,803360,DENVER COUNTY,5440 SCRANTON ST,DENVER,80239,5440 SCRANTON STREET,DENVER,80239,7204249988,1-Regular school,2-No,2-No,39.794034,-104.842432,220,Prekindergarten,5th Grade,1-Primary,593,514,44,558,3,2,433,125,18,1,11,16.94
ANDERSON ELEMENTARY SCHOOL,Michigan,MI ,2.61E+11,BRONSON COMMUNITY SCHOOL DISTRICT,2606960,BRANCH COUNTY,335 EAST COREY ST,BRONSON,49028,335 EAST COREY ST,BRONSON,49028,5173693234,1-Regular school,2-No,2-No,41.87122,-85.18828,92,Kindergarten,2nd Grade,1-Primary,243,123,28,151,0,1,40,1,195,0,6,22.11
ANDERSON ELEMENTARY SCHOOL,Michigan,MI ,2.61E+11,BRONSON COMMUNITY SCHOOL DISTRICT,2606960,BRANCH COUNTY,335 EAST COREY ST,BRONSON,49028,335 EAST COREY ST,BRONSON,49028,5173693234,1-Regular school,2-No,2-No,41.87122,-85.18828,92,Kindergarten,2nd Grade,1-Primary,243,123,28,151,0,1,40,1,195,0,6,22.11
ANDERSONVILLE ELEMENTARY SCHOOL,Michigan,MI ,2.61E+11,CLARKSTON COMMUNITY SCHOOL DISTRICT,2609900,OAKLAND COUNTY,10350 ANDERSONVILLE RD,DAVISBURG,48350,10350 ANDERSONVILLE RD,DAVISBURG,48350,2486235200,1-Regular school,2-No,2-No,42.730165,-83.493391,95,Kindergarten,5th Grade,1-Primary,388,98,22,120,1,4,38,15,324,0,6,19.57
ANDREWS ELEMENTARY SCHOOL,Michigan,MI ,2.63E+11,THREE RIVERS COMMUNITY SCHOOLS,2633840,ST. JOSEPH COUNTY,200 SOUTH DOUGLAS AVE,THREE RIVERS,49093,200 SOUTH DOUGLAS AVE,THREE RIVERS,49093,2692791140,1-Regular school,2-No,1-Yes,41.941227,-85.642995,336,Kindergarten,5th Grade,1-Primary,330,195,42,237,1,0,2,32,266,2,27,19.02
ANGELL ELEMENTARY SCHOOL,Michigan,MI ,2.61E+11,BERKLEY SCHOOL DISTRICT,2605010,OAKLAND COUNTY,3849 BEVERLY BLVD,BERKLEY,48072,3849 BEVERLY BLVD,BERKLEY,48072,2488378500,1-Regular school,2-No,2-No,42.501081,-83.198837,1875,Kindergarten,5th Grade,1-Primary,410,95,19,114,3,10,6,54,333,0,4,17.45
ANGELL SCHOOL,Michigan,MI ,2.60E+11,ANN ARBOR PUBLIC SCHOOLS,2602820,WASHTENAW COUNTY,1608 SOUTH UNIVERSITY AVE,ANN ARBOR,48104,1608 SOUTH UNIVERSITY AVE,ANN ARBOR,48104,7349941907,1-Regular school,2-No,2-No,42.275081,-83.727735,99,Kindergarten,5th Grade,1-Primary,299,31,10,41,1,105,15,27,142,0,9,16.29
