zip,unemployed,households,inc10,inc15,inc25,inc35,inc50,inc75,inc100,inc150,inc200,inc201,medianIncome,meanIncome,ssi,cpa,snap,capitaIncome,poverty
48105,3.3,14063,1576,649,1168,1036,1557,2236,1335,1939,1102,1465,59141,92937,319,298,763,41057,6.6
48108,5.8,10977,610,327,1088,1393,1383,1978,1323,1475,616,784,57223,82278,403,157,930,34961,7.3
48109,4.6,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,14182,null
48111,8,16576,1028,882,1423,1407,2869,3488,2157,2293,610,419,53351,68836,563,545,1698,28494,9
48114,6,7450,79,151,398,409,861,1222,1286,1713,808,523,85674,99626,155,78,272,36070,1.9
48116,6.6,10380,442,315,991,954,1042,1635,1655,1823,890,633,72453,87696,102,302,684,35295,3.9
48117,6.7,3975,178,167,282,434,612,923,639,451,230,59,59284,68354,128,84,383,26116,5.6
48118,3.4,4895,232,83,329,332,724,740,709,1016,384,346,75247,89195,76,18,155,35520,3.9
48120,7.3,2345,273,108,268,298,309,314,330,205,170,70,46638,66982,113,82,502,21696,25.4
48122,9.7,4194,525,262,608,542,754,737,534,155,67,10,37030,44144,434,225,785,18152,15.7
48124,6.4,13372,468,546,1467,1235,1989,2613,1916,1879,773,486,60442,77142,239,344,692,33222,3.1
48125,9.5,7977,397,454,997,1119,1209,1796,1045,738,122,100,47003,56020,383,358,923,22058,6.1
48126,8.6,13758,1957,1430,2707,1646,1755,1920,1036,888,276,143,29410,43838,1088,794,4009,13284,38
48127,6.7,13681,959,650,1833,1773,1945,2703,1768,1408,450,192,47466,58135,477,293,1549,22427,11.2
48128,5.4,4099,173,158,167,220,415,716,742,972,334,202,81841,90775,74,78,193,35423,4.7
48130,5,5115,132,153,241,362,375,977,679,1128,516,552,85920,105482,58,49,161,39468,2.6
48131,9.3,2554,262,82,231,293,425,473,353,310,83,42,49149,60062,110,102,234,23397,11.9
48133,6.9,2385,149,44,304,330,491,407,310,248,38,64,44432,59524,139,54,200,25618,7.2
48134,8.7,7580,463,438,671,649,986,1564,992,1263,462,92,57080,68637,374,298,977,25957,9.1
48135,8.4,10384,449,419,841,1136,1844,2498,1544,1217,401,35,54094,63270,342,108,883,24358,5.7
48137,7,1799,50,57,153,123,240,396,267,347,90,76,65282,78276,38,52,107,31089,5.5
48138,5,4096,119,103,241,244,431,644,648,895,415,356,85592,102936,68,79,47,41103,2.3
48139,7,94,6,0,0,27,0,0,61,0,0,0,85196,63583,0,0,0,24522,0
48140,6,992,21,28,11,57,162,315,122,226,32,18,67619,76061,0,26,24,25937,3.7
48141,13,9789,1682,916,1763,1299,1560,1498,585,390,68,28,29076,37223,1255,823,3389,15157,29.6
48143,null,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,null,null
48144,7.2,3699,94,140,271,213,520,596,511,989,212,153,75705,87851,14,68,102,31516,2.3
48145,7.4,1460,68,74,118,102,144,424,282,160,64,24,65256,69908,50,7,158,27596,13.6
48146,8.3,14604,1275,998,1856,1904,2547,3105,1666,1007,171,75,41987,49285,963,664,2603,19659,14.5
48150,6.7,10355,267,339,671,981,1506,2293,1773,1867,526,132,64855,73602,257,195,417,29575,3.1
48152,5.6,12532,474,364,1093,1004,1661,2267,1747,2469,868,585,69868,82693,391,143,534,33669,4.5
48154,5.4,14422,458,366,1180,1128,1676,2629,2414,3057,996,518,73460,83594,341,209,401,32206,2.9
48157,7.9,632,90,40,58,34,96,160,83,28,17,26,46667,57814,31,26,146,26377,11.4
48158,5.1,2853,123,71,177,199,332,610,541,563,145,92,72470,79619,43,43,109,30864,3.7
48159,10.2,878,45,27,54,40,145,181,124,204,51,7,65357,73973,73,51,70,25897,6.3
48160,5.5,4766,196,203,325,327,519,1047,813,982,245,109,70538,77008,125,69,321,26214,3.5
48161,8,10581,1059,615,1502,1366,1480,1513,1371,1091,394,190,42255,58830,590,450,2011,23288,11.2
48162,7.5,11594,704,657,1259,1139,1795,2379,1554,1654,272,181,52688,62389,671,442,1404,25304,11.4
48164,5.2,3206,104,103,171,161,276,827,582,706,190,86,73734,82944,87,36,192,28647,5
48165,6.3,2243,67,29,355,226,240,391,367,423,68,77,61723,73279,84,61,129,28842,6.5
48166,8.6,4155,229,258,290,394,596,977,573,628,191,19,55988,65370,121,118,568,23957,8.7
48167,5.7,9097,188,306,594,794,854,1457,1474,1866,661,903,78946,101174,132,101,364,42343,2.3
48168,4.1,7232,154,66,351,242,500,903,798,1513,996,1709,121141,156354,172,102,137,54365,1.1
48169,5.6,7940,180,158,413,644,922,1782,1192,1675,525,449,72207,89736,194,103,434,34127,3.7
48170,4.3,15876,339,526,1298,1173,1720,2456,1964,3277,1545,1578,79413,102500,191,201,381,41777,2.4
48173,8.2,4633,87,130,362,383,491,1211,722,944,167,136,65477,75376,108,17,251,29034,2.9
48174,10.1,11696,1242,688,1322,1427,1828,2106,1547,1241,238,57,44752,53899,649,521,2339,21072,15
48176,3.4,7820,243,289,440,481,645,1352,1183,1856,818,513,84858,97542,147,76,236,37763,2.3
48177,0,83,0,0,33,0,25,17,8,0,0,0,41518,43822,0,0,0,15149,0
48178,5.9,11077,449,248,909,979,1474,1752,1530,2122,968,646,71956,88577,258,172,430,33851,2.6
48179,8.4,1198,51,46,102,76,152,276,218,206,47,24,66333,75615,41,4,71,29404,3.3
48180,11.1,23544,2096,1620,2915,2822,4064,5037,2600,1869,316,205,42373,51659,1329,1133,4683,20227,17.2
48182,5.4,8011,215,357,576,553,1249,1675,1652,1170,369,195,65406,73903,208,122,397,27443,3.7
48183,7.1,16572,981,748,1567,1639,2192,3122,2525,2615,839,344,57664,69734,566,219,1361,28085,7.6
48184,9.6,6859,715,361,839,952,1321,1373,642,509,81,66,42201,49546,468,151,1221,20134,12.3
48185,7.6,21215,1707,1325,2673,2846,3618,4022,2325,2154,394,151,43262,54300,856,538,2619,25433,11.8
48186,10.5,13745,1045,839,1795,1419,1954,3047,1931,1375,280,60,47419,55471,592,461,2108,21403,12.7
48187,5.7,16807,429,394,976,1317,1993,3174,2824,3474,1315,911,76011,89071,353,358,918,31963,3.7
48188,6.6,14041,426,232,669,756,1276,2280,2457,3310,1587,1048,89614,101322,241,131,580,35649,4.9
48189,6.5,5461,107,176,485,329,954,1058,774,1028,339,211,65651,79411,54,51,263,31429,3.8
48190,0,20,0,0,0,0,11,9,0,0,0,0,42273,null,0,0,0,22349,0
48191,6.4,1307,78,44,96,139,109,322,232,190,97,0,64595,69005,45,28,134,25700,8.7
48192,7,10710,771,555,1295,1254,1479,2172,1438,1303,287,156,50009,60131,339,291,976,25706,9.5
48193,5.2,5910,266,351,640,604,1053,960,896,819,177,144,50610,65321,158,41,334,25196,6.4
48195,6.7,12773,699,755,1725,1700,1947,2595,1636,1361,251,104,45882,55568,533,321,1011,24361,5.6
48197,8.1,23796,2057,1451,2979,2381,3057,3779,2896,3727,1018,451,49884,63523,737,833,3840,26071,10.8
48198,9.6,15536,1306,964,1869,2232,2651,2643,1796,1549,292,234,41726,56646,894,751,3511,23529,15.9
48201,10.7,5893,2303,829,1005,376,523,340,236,204,26,51,13736,26907,1032,427,2251,16589,41.6
48202,12.9,7328,2127,1008,1024,781,792,787,360,282,46,121,20220,34176,944,637,2600,16523,29
48203,15.4,10946,2736,1074,2144,1402,1473,1273,389,277,89,89,22207,32736,1589,1128,4471,13265,37.3
48204,14.8,10103,2233,1281,1702,1510,1177,1352,480,284,44,40,23381,32895,1381,1065,3922,12712,36.1
48205,17.2,13844,2964,985,1959,1702,2440,2084,1034,516,98,62,31423,38808,1790,1519,5330,13235,36.4
48206,15.5,8321,2021,905,1397,1135,1193,894,440,225,60,51,23816,33208,1177,827,3509,13419,34.1
48207,14.4,10474,2901,989,1591,1400,1470,1083,455,369,84,132,23070,35008,1183,700,3131,19679,39.3
48208,12.3,4318,1313,426,781,542,624,308,153,141,7,23,18950,29090,573,369,1847,13642,41.2
48209,12.9,9663,1665,895,1697,1645,1319,1339,560,396,147,0,27248,37161,1166,1250,3908,11476,34.3
48210,12.7,9217,2012,824,1790,1520,1373,1085,392,132,57,32,24836,32023,1015,842,3516,10742,39.4
48211,15.3,2228,499,286,324,421,352,212,112,4,11,7,25110,29384,325,326,979,10541,35.8
48212,11.9,11403,2470,1265,2218,1489,1596,1500,404,382,48,31,23842,32602,992,1329,4612,10385,44.7
48213,13.5,9400,1904,1289,1662,1361,1355,968,475,342,16,28,23725,32734,1176,1295,4326,11695,37.8
48214,13.2,9251,2065,1201,1285,1073,1122,1150,533,550,95,177,25549,41746,1057,890,2958,19267,27.8
48215,14.4,5297,1416,615,927,599,756,514,162,270,38,0,20835,31369,736,608,2436,12144,39.4
48216,13.3,1912,395,342,267,332,194,251,34,51,41,5,23125,31634,167,204,593,13933,38.9
48217,12.3,3349,616,229,606,505,592,374,228,159,21,19,29101,38223,453,225,1094,15301,26.4
48218,15.8,2894,602,335,459,538,312,334,170,125,12,7,25641,33564,370,315,988,13148,34.6
48219,13.8,17836,2712,1596,2515,2098,2381,3074,1635,1329,359,137,34982,46285,1186,1317,5582,17270,25.2
48220,8.8,10574,753,777,1163,1307,1560,2252,1261,1216,183,102,46902,56065,389,279,1297,26602,10.8
48221,11.3,15095,1503,1160,1864,1895,2383,2358,1962,1387,305,278,42222,55427,956,865,3611,21611,15.3
48223,14.1,9541,1614,684,1171,1314,1602,1163,1017,672,236,68,34874,45897,986,649,2754,17461,30.3
48224,16.5,15224,2609,1015,2243,1941,2113,2669,1187,1020,320,107,33839,44687,1528,1369,4955,15712,28.2
48225,9.9,5998,486,288,848,754,1150,1153,711,383,162,63,43077,52977,305,136,825,22504,13.6
48226,7.8,2818,740,239,367,272,279,401,231,163,57,69,27386,47534,188,36,422,29387,19
48227,11.9,17038,2508,1400,3131,2464,2791,2310,968,1073,326,67,30581,41397,1773,1362,5456,15955,26.4
48228,17.2,18959,3446,2033,3447,2494,2619,2910,1012,807,114,77,26826,37492,1657,2198,7241,14092,33.9
48229,15,3643,593,410,570,549,525,410,322,210,33,21,28813,40376,320,113,1124,16282,28.8
48230,5.6,6429,214,122,372,556,604,818,587,1380,788,988,95694,127291,182,56,327,48806,4.4
48233,null,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,null,null
48234,20.2,13115,2632,1232,2352,1789,1864,1905,732,496,89,24,26485,35427,1491,1266,4633,13526,33.9
48235,11.3,17760,2776,1337,2740,2331,2708,2599,1541,1319,169,240,33774,46024,1620,1105,4658,18690,21.2
48236,4.4,11630,435,296,639,533,862,1771,1769,2402,1211,1712,92552,125740,218,120,359,48934,3.3
48237,10.7,11838,951,786,1519,1383,1718,2354,1573,1100,289,165,44901,56454,725,575,2148,23084,15.1
48238,16,12340,2622,1371,2188,1616,1862,1415,684,489,35,58,24951,35612,1404,1273,4481,14006,34.2
48239,9.8,13532,800,443,1464,1630,1842,3440,1835,1639,328,111,52697,60101,656,394,1641,23795,8.1
48240,8.8,6751,364,311,635,762,1266,1521,1179,608,81,24,50457,56804,229,199,572,22592,7.6
48242,null,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,null,null
48243,null,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,null,null
48301,3.5,5220,144,47,166,169,344,528,697,1005,546,1574,120269,175372,76,64,55,66540,3.5
48302,3.6,6238,136,102,343,317,497,781,745,939,697,1681,107095,174836,140,12,101,69726,3.2
48304,4.3,6367,190,129,285,270,600,957,675,1152,538,1571,102422,154761,59,59,160,60851,2.4
48306,4.9,9355,135,112,375,247,537,1253,1075,2323,1255,2043,118146,146355,65,91,113,50100,1.5
48307,6,16962,860,654,1522,1605,2017,2678,2408,2898,1189,1131,66640,86612,403,284,742,36939,7.3
48309,5,10866,378,269,845,636,1231,1531,1462,2177,1319,1018,85333,104143,238,128,312,39724,3
48310,8.5,14928,736,818,1432,1818,2232,2696,2139,2166,693,198,54079,65053,889,562,2062,22974,12.9
48312,7,13489,491,557,1118,1781,2083,2784,1963,1920,598,194,56246,67990,343,352,1039,28144,5.2
48313,7.3,13082,627,638,1241,953,1760,2759,1955,2247,574,328,60846,70717,288,280,982,28390,7.6
48314,5.2,7656,309,242,784,765,1105,1435,985,1223,596,212,58719,73921,302,145,707,28525,6.3
48315,6.7,9797,366,241,1053,929,1142,1400,1275,1735,951,705,71307,89432,416,128,733,33639,5.6
48316,8,9711,455,187,619,752,1108,2149,1152,2055,713,521,70230,85823,192,143,384,33606,6.3
48317,7.6,10539,594,310,832,1510,1859,2013,1656,1185,396,184,51262,63856,183,195,872,25701,8.3
48320,10.8,1969,116,98,276,192,241,378,244,215,81,128,53597,70262,74,12,219,31605,13.6
48322,5.2,11612,399,315,620,796,1037,1696,1660,2292,1182,1615,87719,120285,304,152,499,45839,4.2
48323,5.1,6083,138,89,182,328,450,795,778,1346,670,1307,110434,151166,113,63,159,54127,2.5
48324,5,6425,135,112,393,399,416,880,965,1444,727,954,96691,128561,111,99,246,47110,2.6
48326,7,8975,419,424,940,1019,1377,1777,1333,1203,251,232,52627,66805,114,135,647,29819,7.7
48327,8.1,9238,467,374,1152,864,1488,1834,1334,1244,339,142,53337,63752,271,130,715,27097,7.3
48328,7.4,10643,777,627,1210,1358,1533,2101,1273,1127,343,294,48539,64387,432,415,1528,28266,14
48329,6.6,9494,425,244,779,539,1372,2147,1438,1482,769,299,64891,78901,244,251,577,31128,6.9
48331,4.1,8386,189,93,376,440,630,1422,1193,1600,1236,1207,97699,122079,100,71,200,47517,1.7
48334,3.6,7359,291,291,882,590,716,1203,1180,1122,671,413,69630,89056,110,63,263,40513,4.7
48335,4.2,10595,490,327,955,999,1508,2202,1297,1513,638,666,60168,81322,186,198,499,36961,2.9
48336,5.2,10731,404,385,1138,1268,1424,2091,1511,1526,604,380,57366,74266,396,350,948,30799,7.5
48340,11.3,9691,1378,789,1926,1299,1649,1292,779,372,141,66,31063,40561,632,464,2876,16055,29.6
48341,12,6758,839,461,1151,867,983,1293,654,359,141,10,35740,44779,441,285,1777,18752,19.8
48342,17.2,7048,1834,907,1196,868,747,789,266,340,92,9,20398,32522,932,767,2990,13344,37
48346,7,8942,344,419,768,987,1011,2248,1050,1408,356,351,61070,78029,196,140,647,31307,7.4
48348,7.1,7901,404,149,552,473,567,1070,1019,1838,954,875,91497,110165,222,121,534,37350,5.8
48350,8.7,2492,36,34,204,159,235,485,370,761,152,56,83657,87003,29,12,61,31904,3.1
48353,7.6,2289,68,66,113,265,217,471,426,488,130,45,71736,79456,21,64,181,29265,5
48356,8.3,3143,128,129,252,144,375,619,597,684,145,70,70750,78849,59,54,187,29920,3.4
48357,9.1,2991,90,174,164,267,481,563,376,496,259,121,61290,82387,139,14,296,30000,8.3
48359,6.3,3041,192,111,244,350,403,423,470,439,218,191,61321,82295,192,16,178,32328,6.2
48360,7.3,4360,181,129,294,387,458,548,539,993,535,296,81058,93710,63,26,146,34550,5.6
48362,6.4,5471,219,127,382,421,611,950,923,1004,444,390,75724,90938,122,124,225,33898,2.8
48363,6.8,1669,132,36,51,107,177,166,209,365,192,234,96635,117907,104,77,134,45957,2.8
48367,11,1691,83,81,85,97,151,264,279,357,185,109,83603,95997,26,57,52,36048,3.8
48370,9.7,607,0,10,51,21,51,54,144,197,33,46,98438,106523,30,27,13,37138,2
48371,7.6,7865,323,249,433,646,690,1401,1353,1755,597,418,77596,89492,173,137,529,31947,5.4
48374,4.3,4518,76,27,144,108,259,562,332,933,992,1085,138884,150463,77,49,104,49089,3.4
48375,4.9,8314,295,114,503,612,639,1480,1340,1711,893,727,82975,101775,111,59,145,41081,2.6
48377,5.7,7727,396,205,740,875,1175,1678,790,853,550,465,54818,78653,190,112,421,39909,8.6
48380,6,2481,74,41,115,150,304,412,291,547,303,244,92629,108761,92,24,44,37261,2.6
48381,6.1,4777,142,245,282,449,515,743,732,911,427,331,75590,90986,118,101,382,35008,5.8
48382,6.9,7424,242,59,280,519,667,1153,1288,1664,797,755,90405,107103,125,91,271,37127,2.9
48383,7.6,4262,106,120,328,287,660,646,707,917,355,136,74545,84033,105,168,445,29457,5.9
48386,7.1,6744,287,158,569,387,931,1291,1064,1402,390,265,70184,79707,135,152,466,30894,3.6
48390,8,9356,268,314,834,850,1047,1948,1479,1742,577,297,66576,80556,125,232,551,33808,3.3
48393,7.7,6838,384,409,741,829,1158,1183,688,900,368,178,48097,64730,145,254,716,27489,11.3
48397,null,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,null,null
48401,6.2,617,88,30,97,80,107,130,43,32,7,3,38036,44199,44,35,144,16417,13.8
48411,2.6,26,15,0,0,0,0,0,11,0,0,0,7143,38169,0,0,1,16269,8.3
48412,7.2,2163,108,36,224,339,327,360,379,266,72,52,52821,65864,59,44,195,25232,6.6
48413,6.3,3203,334,255,442,478,475,607,300,223,31,58,37830,49293,183,123,593,21447,8.9
48414,10.3,983,50,42,91,122,216,217,172,60,7,6,46215,55862,21,18,139,19174,4.7
48415,7.9,3412,102,135,277,435,528,901,497,441,53,43,55000,63972,157,92,376,22762,5.2
48416,11.1,1817,168,91,237,256,300,376,197,149,24,19,40405,51947,40,51,254,19236,13.6
48417,8.8,989,56,24,117,189,172,235,57,133,6,0,42760,52697,37,12,129,19505,6.1
48418,8.2,1586,53,76,181,164,220,393,174,258,67,0,56688,63715,75,90,226,21564,6.9
48419,9.8,1043,74,66,171,111,190,204,128,80,14,5,41165,50926,51,44,145,20361,10.8
48420,9.3,8181,395,284,1110,869,1382,1613,1249,920,225,134,50690,61592,452,157,950,23352,8.6
48421,11.9,2469,104,56,168,227,404,555,410,399,79,67,62473,71912,88,87,224,25564,4.7
48422,7.6,2384,215,136,366,304,419,439,252,183,66,4,40395,50250,105,115,441,19266,11.9
48423,7.1,13223,833,753,1464,1525,2064,2818,1436,1631,473,226,49834,61515,465,274,1481,25504,8.4
48426,11.2,398,37,13,62,61,84,61,40,29,8,3,39028,48829,18,8,69,18513,11.2
